transaction_id,user_id,receiver_id,amount,timestamp,is_fraud,new_device_flag,ip_location_mismatch,failed_attempts_last_24h,transaction_velocity,amount_deviation_score
TXN0000001,USR01603,MRC0374,1650.84,26-12-2024 14:52,0,0,0,0,0,0.5146
TXN0000002,USR01759,MRC0274,599.2,29-06-2024 00:09,0,0,0,1,0,0.7026
TXN0000003,USR01894,MRC0122,261.36,21-02-2024 05:08,0,0,0,0,0,0.1547
TXN0000004,USR00606,USR00692,215.71,09-08-2024 18:52,0,0,0,0,0,0.0078
TXN0000005,USR01246,MRC0007,411.15,18-02-2024 06:37,0,0,0,1,1,0.117
TXN0000006,USR00019,MRC0239,192.57,15-01-2024 08:54,0,0,0,1,0,0.5674
TXN0000007,USR00567,MRC0313,971.65,02-08-2024 03:52,0,0,0,0,1,0.3753
TXN0000008,USR00261,MRC0117,1218.08,01-09-2024 19:10,0,0,0,0,0,0.1261
TXN0000009,USR01038,MRC0226,254.79,13-08-2024 04:58,0,0,0,0,3,0.4257
TXN0000010,USR00034,USR01390,157.23,24-11-2024 03:19,0,0,0,0,0,0.3997
TXN0000011,USR00909,MRC0058,186.51,17-07-2024 11:11,0,0,0,0,1,0.4679
TXN0000012,USR00874,USR01794,464.41,19-04-2024 22:32,0,0,0,1,0,0.2934
TXN0000013,USR00964,MRC0151,811,29-08-2024 12:40,0,1,0,0,0,0.0691
TXN0000014,USR00434,MRC0161,1208.16,17-07-2024 08:57,0,0,0,1,1,0.2185
TXN0000015,USR01194,MRC0017,1289.08,12-09-2024 04:14,1,0,0,5,0,0.1756
TXN0000016,USR00460,USR01158,893.69,14-07-2024 12:55,0,0,0,1,0,0.3747
TXN0000017,USR01635,MRC0027,1138.8,23-08-2024 18:36,0,0,0,0,0,0.7177
TXN0000018,USR00500,MRC0169,636.9,04-04-2024 09:36,0,0,0,0,0,0.8224
TXN0000019,USR00912,MRC0376,1362.2,07-12-2024 20:18,0,0,0,0,0,0.5486
TXN0000020,USR00472,USR00920,500.23,01-11-2024 08:53,0,0,0,1,0,0.9567
TXN0000021,USR00835,MRC0346,1090.5,15-08-2024 02:18,0,0,0,1,,0.3378
TXN0000022,USR01035,MRC0076,434.11,11-08-2024 16:49,0,0,0,0,0,0.0888
TXN0000023,USR00858,USR00540,5247.77,24-10-2024 07:03,1,0,0,1,0,4.9267
TXN0000024,USR01414,MRC0086,216.74,29-01-2024 08:32,0,0,0,2,2,0.6525
TXN0000025,USR01141,MRC0124,653.36,03-10-2024 12:10,0,0,0,1,0,0.6511
TXN0000026,USR01480,MRC0024,383.32,29-01-2024 15:25,0,0,0,0,0,0.2587
TXN0000027,USR00593,MRC0388,226.25,04-07-2024 06:57,0,0,0,1,0,0.3868
TXN0000028,USR00312,MRC0004,2206.12,18-08-2024 12:19,0,0,0,0,0,1.4318
TXN0000029,USR00573,MRC0396,426.69,07-02-2024 15:09,0,0,0,0,0,0.1821
TXN0000030,USR01901,MRC0219,184.39,20-04-2024 18:47,0,0,0,0,0,0.7296
TXN0000031,USR01498,MRC0108,316.2,16-06-2024 04:54,0,0,0,0,0,
