merchant_id,merchant_name,merchant_category,merchant_size,city,city_tier,avg_daily_transactions,is_registered,rating
MRC0001,Merchant_1,Insurance,Medium,Bhopal,Tier 2,60,1,4.2
MRC0002,Merchant_2,Travel,Small,Coimbatore,Tier 2,7,1,4.7
MRC0003,Merchant_3,Utilities,Small,Mumbai,Tier 1,4,1,4.1
MRC0004,Merchant_4,Grocery,Small,Rajkot,Tier 2,16,1,4.2
MRC0005,Merchant_5,Travel,Small,Mumbai,Tier 1,10,1,2.8
MRC0006,Merchant_6,Food & Dining,Medium,Pune,Tier 1,67,1,3.5
MRC0007,Merchant_7,Food & Dining,Medium,Ranchi,Tier 3,63,1,4.7
MRC0008,Merchant_8,Grocery,Small,Delhi,Tier 1,6,1,3.7
MRC0009,Merchant_9,Grocery,Small,Aurangabad,Tier 3,9,1,3.7
MRC0010,Merchant_10,Recharge,Small,Lucknow,Tier 2,17,1,2.8
MRC0011,Merchant_11,Food & Dining,Small,Varanasi,Tier 3,9,1,3.6
MRC0012,Merchant_12,Entertainment,Medium,Patna,Tier 2,47,1,3.3
MRC0013,Merchant_13,Travel,Small,Ahmedabad,Tier 1,3,1,4.4
MRC0014,Merchant_14,Utilities,Small,Delhi,Tier 1,14,1,2.6
MRC0015,Merchant_15,Grocery,Medium,Guwahati,Tier 3,77,0,2.9
MRC0016,Merchant_16,Recharge,Small,Hyderabad,Tier 1,12,1,2.6
MRC0017,Merchant_17,Food & Dining,Small,Solapur,Tier 3,15,1,2.7
MRC0018,Merchant_18,Insurance,Enterprise,Madurai,Tier 3,233,1,3.6
MRC0019,Merchant_19,Grocery,Small,Ahmedabad,Tier 1,15,1,3.0
MRC0020,Merchant_20,Travel,Small,Jodhpur,Tier 3,10,0,4.2
MRC0021,Merchant_21,Grocery,Small,Hubli,Tier 3,5,1,2.9
MRC0022,Merchant_22,Grocery,Small,Kanpur,Tier 2,9,1,3.5
MRC0023,Merchant_23,Utilities,Small,Hubli,Tier 3,13,1,3.6
MRC0024,Merchant_24,Food & Dining,Medium,Pune,Tier 1,52,1,4.2
MRC0025,Merchant_25,Grocery,Small,Chennai,Tier 1,14,1,2.6
MRC0026,Merchant_26,Grocery,Medium,Varanasi,Tier 3,79,1,3.4
MRC0027,Merchant_27,Shopping,Medium,Madurai,Tier 3,64,1,3.0
MRC0028,Merchant_28,Food & Dining,Medium,Patna,Tier 2,78,1,3.8
MRC0029,Merchant_29,Food & Dining,Medium,Bengaluru,Tier 1,35,0,3.6
MRC0030,Merchant_30,Recharge,Small,Varanasi,Tier 3,15,1,3.5
MRC0031,Merchant_31,Food & Dining,Medium,Jaipur,Tier 2,85,1,4.7
MRC0032,Merchant_32,Entertainment,Medium,Nagpur,Tier 2,24,1,4.2
MRC0033,Merchant_33,Food & Dining,Enterprise,Agra,Tier 2,282,1,4.2
MRC0034,Merchant_34,Healthcare,Small,Chandigarh,Tier 2,14,1,4.4
MRC0035,Merchant_35,Travel,Small,Tiruchirappalli,Tier 3,7,1,2.5
MRC0036,Merchant_36,Grocery,Medium,Indore,Tier 2,58,1,2.9
MRC0037,Merchant_37,Education,Enterprise,Chandigarh,Tier 2,196,1,4.5
MRC0038,Merchant_38,Education,Small,Pune,Tier 1,13,1,4.3
MRC0039,Merchant_39,Shopping,Small,Ahmedabad,Tier 1,16,0,4.6
MRC0040,Merchant_40,Entertainment,Small,Surat,Tier 2,13,1,4.9
MRC0041,Merchant_41,Travel,Medium,Delhi,Tier 1,49,1,4.4
MRC0042,Merchant_42,Shopping,Medium,Mysuru,Tier 3,59,1,3.9
MRC0043,Merchant_43,Grocery,Medium,Kanpur,Tier 2,56,1,3.0
MRC0044,Merchant_44,Utilities,Medium,Hyderabad,Tier 1,34,0,4.9
MRC0045,Merchant_45,Shopping,Small,Mumbai,Tier 1,10,1,3.4
MRC0046,Merchant_46,Travel,Small,Visakhapatnam,Tier 2,15,1,3.8
MRC0047,Merchant_47,Travel,Small,Delhi,Tier 1,11,1,4.1
MRC0048,Merchant_48,Entertainment,Medium,Nashik,Tier 3,70,1,3.4
MRC0049,Merchant_49,Entertainment,Small,Chandigarh,Tier 2,11,1,3.8
MRC0050,Merchant_50,Travel,Small,Kochi,Tier 2,11,1,4.8
MRC0051,Merchant_51,Grocery,Small,Vadodara,Tier 2,14,1,2.9
MRC0052,Merchant_52,Food & Dining,Medium,Agra,Tier 2,66,1,3.6
MRC0053,Merchant_53,Grocery,Small,Hubli,Tier 3,8,1,4.2
MRC0054,Merchant_54,Entertainment,Small,Pune,Tier 1,14,1,4.3
MRC0055,Merchant_55,Food & Dining,Medium,Delhi,Tier 1,31,0,4.5
MRC0056,Merchant_56,Shopping,Small,Ranchi,Tier 3,8,1,2.5
MRC0057,Merchant_57,Education,Small,Indore,Tier 2,14,1,3.7
MRC0058,Merchant_58,Food & Dining,Small,Delhi,Tier 1,9,1,3.8
MRC0059,Merchant_59,Entertainment,Medium,Kochi,Tier 2,76,1,3.2
MRC0060,Merchant_60,Utilities,Small,Amritsar,Tier 3,8,1,4.4
MRC0061,Merchant_61,Food & Dining,Small,Coimbatore,Tier 2,8,1,3.0
MRC0062,Merchant_62,Recharge,Enterprise,Vadodara,Tier 2,292,0,3.4
MRC0063,Merchant_63,Education,Small,Kochi,Tier 2,14,1,3.5
MRC0064,Merchant_64,Shopping,Medium,Meerut,Tier 3,37,1,4.5
MRC0065,Merchant_65,Healthcare,Small,Patna,Tier 2,12,1,3.4
MRC0066,Merchant_66,Food & Dining,Small,Nagpur,Tier 2,8,1,3.2
MRC0067,Merchant_67,Utilities,Small,Surat,Tier 2,14,1,4.6
