user_id,Recency,Frequency,Monetary,Avg_Txn_Value,Fav_Txn_Type,Weekend_Ratio,Night_Ratio,age_group,city_tier,kyc_status,user_loyalty_score,Monetary_log
USR00001,9,11,10597.11,963.3736363636364,P2M,0.36363636363636365,0.5454545454545454,55+,Tier 2,Verified,0.348,9.268430962315694
USR00002,57,7,3444.34,492.04857142857145,P2M,0.2857142857142857,0.2857142857142857,35-44,Tier 3,Verified,0.903,8.144777872336922
USR00003,76,8,3195.66,399.4575,P2M,0.5,0.0,25-34,Tier 1,Verified,0.297,8.069861793701465
USR00004,14,10,2706.06,270.606,P2P,0.0,0.1,25-34,Tier 2,Verified,0.685,7.903618454126701
USR00005,43,8,8672.130000000001,1084.0162500000001,P2M,0.25,0.25,18-24,Tier 2,Verified,0.828,9.067985019618588
USR00006,43,7,2362.8,337.54285714285714,P2P,0.14285714285714285,0.2857142857142857,18-24,Tier 2,Verified,0.406,7.76802577257814
USR00007,14,11,9802.48,891.1345454545454,P2M,0.2727272727272727,0.2727272727272727,18-24,Tier 2,Not Verified,0.442,9.190492703665672
USR00008,22,17,12835.68,755.04,P2M,0.4117647058823529,0.5294117647058824,18-24,Tier 1,Verified,0.757,9.460061976831554
USR00009,15,13,20746.14,1595.856923076923,P2M,0.23076923076923078,0.15384615384615385,25-34,Tier 1,Verified,0.846,9.940163684833934
USR00010,5,10,18247.515699999956,1824.7515699999956,P2M,0.3,0.2,25-34,Tier 1,Verified,0.163,9.8118390241962
USR00011,33,7,10815.75,1545.107142857143,P2M,0.42857142857142855,0.14285714285714285,25-34,Tier 1,Verified,0.88,9.288851137594696
USR00012,85,10,18571.06,1857.1060000000002,P2M,0.7,0.4,35-44,Tier 2,Verified,0.42,9.82941357980442
USR00013,68,5,10559.08,2111.816,Bill Payment,0.0,0.4,18-24,Tier 1,Verified,0.32,9.264836132989132
USR00014,35,16,13091.9,818.24375,P2M,0.25,0.4375,25-34,Tier 1,Verified,0.392,9.479825377529602
USR00015,49,10,9264.73,926.473,P2M,0.2,0.3,45-54,Tier 2,Verified,0.825,9.134077926765087
USR00016,8,6,7649.5,1274.9166666666667,EMI,0.3333333333333333,0.3333333333333333,25-34,Tier 1,Verified,0.61,8.942526284161868
USR00017,8,9,4164.47,462.7188888888889,P2M,0.1111111111111111,0.6666666666666666,25-34,Tier 2,Verified,0.923,8.334584393372465
USR00018,14,11,7003.01,636.6372727272727,P2M,0.36363636363636365,0.36363636363636365,25-34,Tier 2,Not Verified,0.605,8.854238121160291
USR00019,13,14,5663.92,404.5657142857143,P2M,0.21428571428571427,0.14285714285714285,25-34,Tier 2,Verified,0.459,8.642048051561863
USR00020,82,14,12698.35,907.025,P2P,0.21428571428571427,0.2857142857142857,55+,Tier 2,Verified,0.78,9.449306090034524
USR00021,26,11,5739.57,521.7790909090909,P2P,0.18181818181818182,0.18181818181818182,35-44,Tier 2,Verified,0.48,8.65531378751927
USR00022,5,10,12670.77,1267.077,P2M,0.6,0.1,18-24,Tier 1,Verified,0.576,9.447131963636965
USR00023,10,10,4970.84,497.084,P2M,0.5,0.3,25-34,Tier 2,Not Verified,0.203,8.511545271903636
USR00024,39,6,5138.25,856.375,P2M,0.3333333333333333,0.5,25-34,Tier 3,Verified,0.406,8.544662433405783
USR00025,50,12,23367.4,1947.2833333333335,P2M,0.3333333333333333,0.3333333333333333,45-54,Tier 1,Not Verified,0.75,10.059139961346615
USR00026,34,8,6370.09,796.26125,P2P,0.375,0.125,45-54,Tier 3,Verified,0.196,8.759525848527462
USR00027,71,8,2517.66,314.7075,P2M,0.25,0.375,18-24,Tier 2,Verified,0.238,7.831482293046664
USR00028,7,9,4406.05,489.56111111111113,P2M,0.3333333333333333,0.2222222222222222,35-44,Tier 1,Verified,0.118,8.390960810364193
USR00029,6,12,5771.22,480.935,Bill Payment,0.25,0.16666666666666666,25-34,Tier 2,Verified,0.317,8.660812034205517
USR00030,15,9,13301.19,1477.91,P2M,0.3333333333333333,0.4444444444444444,45-54,Tier 2,Verified,0.834,9.495683962308739
USR00031,102,7,7930.610000000001,1132.9442857142858,P2P,0.5714285714285714,0.42857142857142855,35-44,Tier 1,Verified,0.952,8.978611320503521
USR00032,43,11,4627.85,420.7136363636364,P2P,0.2727272727272727,0.7272727272727273,45-54,Tier 3,Verified,0.936,8.440063736099237
USR00033,15,10,6575.33,657.533,Bill Payment,0.2,0.3,25-34,Tier 1,Verified,0.705,8.79123211795867
USR00034,37,11,3107.44,282.49454545454546,P2M,0.2727272727272727,0.36363636363636365,35-44,Tier 2,Verified,0.323,8.041876271609002
USR00035,17,20,9609.94,480.497,P2M,0.55,0.4,35-44,Tier 2,Verified,0.63,9.17065731195706
USR00036,61,13,14177.119999999999,1090.5476923076922,P2M,0.3076923076923077,0.5384615384615384,25-34,Tier 3,Verified,0.915,9.559455210196326
USR00037,32,13,2602.78,200.21384615384616,P2M,0.0,0.0,25-34,Tier 3,Verified,0.702,7.864719514352301
USR00038,24,10,9596.45,959.6450000000001,P2M,0.4,0.3,25-34,Tier 2,Verified,0.319,9.169252717171359
USR00039,63,7,7440.22,1062.8885714285714,Bill Payment,0.5714285714285714,0.2857142857142857,18-24,Tier 3,Verified,0.693,8.914790092878757
USR00040,76,10,6596.28,659.6279999999999,P2M,0.2,0.4,25-34,Tier 3,Verified,0.149,8.79441272185711
USR00041,24,12,32623.36569999996,2718.61380833333,Bill Payment,0.25,0.5,55+,Tier 1,Verified,0.405,10.392814702290398
USR00042,24,6,12945.465699999957,2157.5776166666597,P2M,0.3333333333333333,0.3333333333333333,25-34,Tier 1,Verified,0.504,9.468578110959616
USR00043,30,15,4664.2,310.94666666666666,P2P,0.4,0.5333333333333333,35-44,Tier 2,Verified,0.931,8.447885984816894
USR00044,9,15,34389.761399999916,2292.6507599999945,P2M,0.2,0.5333333333333333,18-24,Tier 1,Verified,0.587,10.445543243338243
USR00045,72,10,2346.4,234.64000000000001,P2M,0.5,0.3,25-34,Tier 2,Verified,0.537,7.761063611666024
USR00046,178,5,2702.35,540.47,P2M,0.2,0.2,25-34,Tier 1,Verified,0.102,7.902247023650458
USR00047,21,14,15996.49,1142.6064285714285,Bill Payment,0.42857142857142855,0.35714285714285715,35-44,Tier 1,Verified,0.962,9.680187113915748
USR00048,106,11,7832.48,712.0436363636363,Bill Payment,0.0,0.2727272727272727,25-34,Tier 2,Verified,0.367,8.966162134693116
USR00049,7,9,8620.18,957.7977777777778,P2M,0.2222222222222222,0.3333333333333333,18-24,Tier 1,Verified,0.626,9.061977245240303
USR00050,70,8,7458.55,932.31875,Bill Payment,0.0,0.125,45-54,Tier 1,Verified,0.172,8.917250369662561
USR00051,13,9,3380.96,375.6622222222222,P2M,0.2222222222222222,0.4444444444444444,35-44,Tier 2,Verified,0.312,8.126210702067471
USR00052,17,6,2421.11,403.5183333333334,P2P,0.6666666666666666,0.16666666666666666,25-34,Tier 2,Verified,0.635,7.792394340092451
USR00053,134,11,4723.76,429.4327272727273,Bill Payment,0.36363636363636365,0.36363636363636365,35-44,Tier 3,Verified,0.385,8.460572044987009
