user_id,age_group,city,city_tier,kyc_status,account_age_days,linked_bank_count,avg_monthly_transactions,avg_transaction_value,preferred_app,preferred_device,user_loyalty_score,is_high_risk_user
USR00001,55+,Surat,Tier 2,Verified,486,1,19,629.65,GPay,Android,0.348,0
USR00002,35-44,Tiruchirappalli,Tier 3,Verified,449,2,15,429.28,GPay,Android,0.903,0
USR00003,25-34,Pune,Tier 1,Verified,160,1,56,340.67,GPay,Android,0.297,0
USR00004,25-34,Jaipur,Tier 2,Verified,2328,1,30,221.18,PhonePe,Android,0.685,0
USR00005,18-24,Nagpur,Tier 2,Verified,1869,2,24,918.09,GPay,iOS,0.828,1
USR00006,18-24,Kochi,Tier 2,Verified,683,2,37,249.97,GPay,Android,0.406,0
USR00007,18-24,Kochi,Tier 2,Not Verified,1408,1,31,882.61,Amazon Pay,Android,0.442,0
USR00008,18-24,Kolkata,Tier 1,Verified,1113,3,25,551.88,BHIM,Android,0.757,0
USR00009,25-34,Pune,Tier 1,Verified,352,2,52,1447.92,Paytm,iOS,0.846,0
USR00010,25-34,Kolkata,Tier 1,Verified,2394,1,49,1526.24,PhonePe,Android,0.163,0
USR00011,25-34,Chennai,Tier 1,Verified,356,3,56,1015.54,PhonePe,Android,0.88,0
USR00012,35-44,Vadodara,Tier 2,Verified,1524,1,29,1329.58,PhonePe,Android,0.42,0
USR00013,18-24,Delhi,Tier 1,Verified,730,2,25,1588.8,PhonePe,iOS,0.32,0
USR00014,25-34,Chennai,Tier 1,Verified,2311,1,34,629.03,Amazon Pay,iOS,0.392,0
USR00015,45-54,Jaipur,Tier 2,Verified,968,3,42,577.76,Amazon Pay,Android,0.825,0
USR00016,25-34,Delhi,Tier 1,Verified,894,3,48,994.13,GPay,Android,0.61,0
USR00017,25-34,Nagpur,Tier 2,Verified,2074,1,34,470.69,PhonePe,Android,0.923,0
USR00018,25-34,Visakhapatnam,Tier 2,Not Verified,601,1,12,511.79,GPay,Android,0.605,0
USR00019,25-34,Agra,Tier 2,Verified,1784,3,34,445.15,GPay,Android,0.459,0
USR00020,55+,Kanpur,Tier 2,Verified,2117,1,40,816.47,GPay,iOS,0.78,0
USR00021,35-44,Kanpur,Tier 2,Verified,685,2,22,544.55,BHIM,Android,0.48,0
USR00022,18-24,Pune,Tier 1,Verified,2470,4,24,885.7,Paytm,Android,0.576,0
USR00023,25-34,Chandigarh,Tier 2,Not Verified,77,2,26,305.67,GPay,Web,0.203,0
USR00024,25-34,Madurai,Tier 3,Verified,1122,2,19,679.16,PhonePe,Android,0.406,0
USR00025,45-54,Bengaluru,Tier 1,Not Verified,1888,1,25,1736.58,PhonePe,iOS,0.75,0
USR00026,45-54,Aurangabad,Tier 3,Verified,761,2,14,356.35,GPay,iOS,0.196,0
USR00027,18-24,Chandigarh,Tier 2,Verified,2109,2,31,250.56,Paytm,iOS,0.238,0
USR00028,35-44,Mumbai,Tier 1,Verified,2483,1,60,519.48,Paytm,iOS,0.118,0
USR00029,25-34,Indore,Tier 2,Verified,1289,1,17,327.26,GPay,Web,0.317,0
USR00030,45-54,Lucknow,Tier 2,Verified,380,2,30,1243.83,PhonePe,Android,0.834,0
USR00031,35-44,Bengaluru,Tier 1,Verified,555,2,45,782.8,GPay,Web,0.952,0
USR00032,45-54,Aurangabad,Tier 3,Verified,1763,4,20,296.75,WhatsApp Pay,iOS,0.936,0
USR00033,25-34,Hyderabad,Tier 1,Verified,1306,1,32,624.82,PhonePe,Web,0.705,0
USR00034,35-44,Indore,Tier 2,Verified,2149,1,30,261.92,BHIM,iOS,0.323,0
USR00035,35-44,Jaipur,Tier 2,Verified,2439,2,38,361.94,BHIM,iOS,0.63,1
USR00036,25-34,Tiruchirappalli,Tier 3,Verified,271,1,21,612.72,Paytm,iOS,0.915,0
USR00037,25-34,Ranchi,Tier 3,Verified,2135,1,18,185.49,GPay,Android,0.702,0
USR00038,25-34,Kanpur,Tier 2,Verified,2368,2,25,999.44,GPay,Android,0.319,0
USR00039,18-24,Amritsar,Tier 3,Verified,809,1,30,936.94,Paytm,iOS,0.693,0
USR00040,25-34,Amritsar,Tier 3,Verified,1942,3,14,516.99,PhonePe,Android,0.149,0
USR00041,55+,Delhi,Tier 1,Verified,278,1,34,2303.11,GPay,Android,0.405,0
USR00042,25-34,Hyderabad,Tier 1,Verified,814,1,27,1474.32,Amazon Pay,iOS,0.504,0
USR00043,35-44,Visakhapatnam,Tier 2,Verified,1924,1,23,241.26,Paytm,Android,0.931,0
USR00044,18-24,Delhi,Tier 1,Verified,237,2,50,1352.91,PhonePe,Android,0.587,1
USR00045,25-34,Lucknow,Tier 2,Verified,998,1,12,238.34,PhonePe,Android,0.537,0
USR00046,25-34,Pune,Tier 1,Verified,270,1,60,855.23,Paytm,Android,0.102,0
USR00047,35-44,Ahmedabad,Tier 1,Verified,1198,1,53,916.8,PhonePe,Android,0.962,0
USR00048,25-34,Coimbatore,Tier 2,Verified,2023,1,28,740.13,WhatsApp Pay,iOS,0.367,0
USR00049,18-24,Mumbai,Tier 1,Verified,1314,1,38,962.75,GPay,iOS,0.626,0
USR00050,45-54,Bengaluru,Tier 1,Verified,262,4,49,560.87,Paytm,iOS,0.172,0
USR00051,35-44,Agra,Tier 2,Verified,308,2,34,339.59,BHIM,Web,0.312,0
USR00052,25-34,Indore,Tier 2,Verified,2363,1,34,460.59,BHIM,Android,0.635,0
USR00053,35-44,Amritsar,Tier 3,Verified,2420,2,18,541.93,BHIM,Android,0.385,0
USR00054,25-34,Warangal,Tier 3,Verified,1316,1,19,286.71,Amazon Pay,Android,0.456,0
USR00055,25-34,Visakhapatnam,Tier 2,Verified,1902,1,40,253.62,Paytm,iOS,0.777,0
USR00056,18-24,Nashik,Tier 3,Verified,2336,4,18,206.49,PhonePe,iOS,0.166,0
USR00057,18-24,Visakhapatnam,Tier 2,Verified,572,3,35,1174.45,GPay,Android,0.893,0
USR00058,18-24,Bhopal,Tier 2,Verified,1197,1,25,597.68,GPay,Web,0.85,0
USR00059,25-34,Agra,Tier 2,Verified,2196,1,24,1176.03,GPay,iOS,0.835,0
USR00060,25-34,Surat,Tier 2,Not Verified,454,3,29,284.95,GPay,Android,0.221,0
USR00061,18-24,Delhi,Tier 1,Verified,2296,1,62,1349.86,PhonePe,Web,0.354,0
USR00062,25-34,Bhopal,Tier 2,Verified,863,2,32,523.94,GPay,Android,0.868,0
USR00063,25-34,Hubli,Tier 3,Verified,238,1,15,946.29,Paytm,Android,0.481,0
USR00064,18-24,Jodhpur,Tier 3,Verified,1396,2,29,190.87,GPay,Android,0.673,0
USR00065,25-34,Rajkot,Tier 2,Verified,1839,2,12,646.33,BHIM,iOS,0.485,1
USR00066,45-54,Delhi,Tier 1,Verified,640,2,27,2550.67,Amazon Pay,iOS,0.851,0
USR00067,18-24,Bengaluru,Tier 1,Verified,1790,1,48,440.02,PhonePe,Web,0.377,0
USR00068,45-54,Madurai,Tier 3,Verified,193,3,9,216.36,GPay,iOS,0.289,0
USR00069,55+,Ranchi,Tier 3,Not Verified,1478,2,26,373.92,Amazon Pay,iOS,0.896,0
USR00070,25-34,Bengaluru,Tier 1,Verified,999,3,46,1157.36,GPay,iOS,0.979,0
USR00071,25-34,Indore,Tier 2,Verified,1718,1,32,1776.27,Paytm,Android,0.763,0
USR00072,25-34,Varanasi,Tier 3,Verified,1716,3,16,555.3,GPay,Android,0.878,0
USR00073,35-44,Hubli,Tier 3,Verified,682,2,15,252.44,GPay,Android,0.197,0
USR00074,25-34,Chandigarh,Tier 2,Verified,1957,1,27,799.79,PhonePe,iOS,0.835,0
USR00075,35-44,Visakhapatnam,Tier 2,Verified,962,1,29,838.55,GPay,Android,0.694,0
USR00076,25-34,Hubli,Tier 3,Verified,314,4,10,463.3,GPay,Android,0.351,0
USR00077,18-24,Pune,Tier 1,Verified,2226,1,30,1138.93,PhonePe,iOS,0.125,0
USR00078,35-44,Visakhapatnam,Tier 2,Verified,761,2,25,323.15,GPay,Android,0.985,1
USR00079,25-34,Pune,Tier 1,Verified,1445,2,45,216.06,Paytm,Android,0.382,0
USR00080,35-44,Aurangabad,Tier 3,Verified,503,1,17,271.51,BHIM,iOS,0.619,0
USR00081,18-24,Pune,Tier 1,Verified,36,2,77,705.43,PhonePe,Android,0.826,0
USR00082,18-24,Rajkot,Tier 2,Verified,837,1,35,626.77,PhonePe,Android,0.163,0
USR00083,25-34,Kolkata,Tier 1,Verified,1315,2,34,493.99,PhonePe,Android,0.212,0
USR00084,18-24,Chennai,Tier 1,Verified,1702,1,67,1442.63,Paytm,Android,0.727,0
USR00085,25-34,Hyderabad,Tier 1,Verified,1752,2,39,2196.15,GPay,Android,0.441,0
USR00086,35-44,Kanpur,Tier 2,Verified,2361,1,17,728.95,GPay,Android,0.593,1
USR00087,18-24,Chennai,Tier 1,Verified,890,1,33,612.86,Amazon Pay,Android,0.622,0
USR00088,25-34,Vadodara,Tier 2,Not Verified,1839,1,27,301.66,WhatsApp Pay,iOS,0.292,0
USR00089,25-34,Varanasi,Tier 3,Verified,725,2,20,351.1,PhonePe,Android,0.355,0
USR00090,35-44,Kolkata,Tier 1,Verified,412,3,34,287.81,PhonePe,Android,0.776,0
USR00091,35-44,Hyderabad,Tier 1,Verified,845,1,29,998.13,PhonePe,Android,0.142,0
USR00092,25-34,Delhi,Tier 1,Verified,1895,1,58,601.3,GPay,iOS,0.667,0
USR00093,35-44,Tiruchirappalli,Tier 3,Verified,1602,1,8,166.83,Amazon Pay,iOS,0.32,0
USR00094,18-24,Jodhpur,Tier 3,Verified,466,2,18,282.36,PhonePe,iOS,0.297,0
USR00095,35-44,Ahmedabad,Tier 1,Verified,235,2,40,701.91,BHIM,iOS,0.926,0
USR00096,25-34,Kanpur,Tier 2,Not Verified,1933,2,40,407.07,PhonePe,Android,0.989,0
USR00097,25-34,Kochi,Tier 2,Verified,1842,2,15,525.03,Amazon Pay,Android,0.747,0
USR00098,45-54,Chandigarh,Tier 2,Verified,2274,1,16,1032.85,GPay,iOS,0.243,0
USR00099,25-34,Vadodara,Tier 2,Not Verified,1091,2,25,662.57,GPay,Android,0.856,0
USR00100,18-24,Kochi,Tier 2,Verified,2165,1,34,635.25,PhonePe,iOS,0.315,0
USR00101,45-54,Chennai,Tier 1,Verified,990,1,62,650.96,GPay,Android,0.388,0
USR00102,35-44,Kanpur,Tier 2,Verified,647,1,33,1603.44,GPay,Android,0.725,0
USR00103,45-54,Delhi,Tier 1,Verified,1729,1,32,210.69,Amazon Pay,Android,0.588,0
USR00104,25-34,Nagpur,Tier 2,Verified,1750,1,30,803.75,Paytm,Web,0.793,0
USR00105,18-24,Jaipur,Tier 2,Verified,2388,1,17,1613.12,Paytm,Web,0.105,0
USR00106,25-34,Madurai,Tier 3,Verified,1627,3,18,597.7,PhonePe,Android,0.958,0
USR00107,25-34,Hyderabad,Tier 1,Verified,2029,1,56,211.2,Amazon Pay,Android,0.492,1
USR00108,35-44,Kolkata,Tier 1,Verified,1686,2,41,344.93,GPay,Android,0.856,0
USR00109,25-34,Agra,Tier 2,Not Verified,2217,1,39,171.9,Paytm,Android,0.455,0
USR00110,18-24,Jaipur,Tier 2,Not Verified,373,2,27,267.71,GPay,Web,0.222,0
USR00111,35-44,Jaipur,Tier 2,Verified,1095,1,22,779.3,Amazon Pay,Android,0.29,0
USR00112,18-24,Pune,Tier 1,Verified,1169,2,35,906.05,Paytm,Android,0.849,0
USR00113,25-34,Lucknow,Tier 2,Verified,1956,1,19,587.6,GPay,iOS,0.585,0
USR00114,25-34,Jalandhar,Tier 3,Verified,948,2,12,887.08,GPay,Android,0.803,0
USR00115,35-44,Kochi,Tier 2,Verified,157,3,23,335.91,Paytm,Android,0.279,1
USR00116,35-44,Bengaluru,Tier 1,Verified,1007,1,28,1303.8,GPay,Android,0.703,0
USR00117,45-54,Nagpur,Tier 2,Verified,1934,2,44,284.17,GPay,Android,0.79,0
USR00118,18-24,Solapur,Tier 3,Verified,499,2,19,146.34,PhonePe,iOS,0.247,0
USR00119,25-34,Solapur,Tier 3,Verified,135,3,25,108.28,GPay,Android,0.618,0
USR00120,25-34,Patna,Tier 2,Verified,1654,3,31,490.68,Paytm,Android,0.278,0
USR00121,25-34,Meerut,Tier 3,Not Verified,1024,1,16,695.2,GPay,Android,0.795,0
USR00122,35-44,Agra,Tier 2,Verified,525,2,31,465.65,WhatsApp Pay,Android,0.609,1
USR00123,25-34,Pune,Tier 1,Verified,1547,1,23,1183.65,PhonePe,iOS,0.683,1
USR00124,18-24,Amritsar,Tier 3,Verified,2037,1,19,559.02,PhonePe,iOS,0.965,0
USR00125,45-54,Ahmedabad,Tier 1,Verified,656,1,50,205.08,GPay,Android,0.76,0
USR00126,18-24,Visakhapatnam,Tier 2,Verified,2234,2,24,223.59,GPay,Android,0.518,0
USR00127,25-34,Agra,Tier 2,Verified,1129,1,48,433.16,Amazon Pay,iOS,0.321,0
USR00128,18-24,Chennai,Tier 1,Verified,1876,1,37,914.56,PhonePe,Android,0.518,0
USR00129,35-44,Pune,Tier 1,Verified,1407,1,47,695.29,PhonePe,iOS,0.866,0
USR00130,25-34,Nagpur,Tier 2,Verified,1483,2,35,932.03,GPay,Android,0.406,0
USR00131,18-24,Rajkot,Tier 2,Not Verified,1161,2,18,453.99,PhonePe,iOS,0.565,0
USR00132,35-44,Nagpur,Tier 2,Verified,1694,1,37,684.94,GPay,Android,0.782,0
USR00133,55+,Ahmedabad,Tier 1,Not Verified,1865,2,56,921.08,GPay,iOS,0.184,0
USR00134,45-54,Hyderabad,Tier 1,Not Verified,1284,2,44,1279.39,BHIM,iOS,0.432,0
USR00135,45-54,Kolkata,Tier 1,Verified,1772,4,26,1148.09,GPay,Android,0.595,0
USR00136,25-34,Vadodara,Tier 2,Verified,1139,1,28,399.41,PhonePe,iOS,0.307,0
USR00137,35-44,Kolkata,Tier 1,Not Verified,519,2,26,1207.78,GPay,iOS,0.956,0
USR00138,45-54,Hyderabad,Tier 1,Verified,916,2,38,1979.99,PhonePe,Android,0.349,0
USR00139,55+,Madurai,Tier 3,Verified,2178,2,8,107.92,Paytm,Android,0.982,0
USR00140,25-34,Chennai,Tier 1,Verified,961,1,31,536.23,GPay,Android,0.372,0
USR00141,25-34,Guwahati,Tier 3,Verified,1153,1,12,466.91,Amazon Pay,iOS,0.149,0
USR00142,25-34,Bengaluru,Tier 1,Not Verified,2040,1,44,1274.27,PhonePe,Android,0.111,0
USR00143,25-34,Nashik,Tier 3,Not Verified,1834,1,24,819.95,PhonePe,Android,0.969,0
USR00144,25-34,Ahmedabad,Tier 1,Verified,497,3,36,1734.8,GPay,Web,0.461,0
USR00145,45-54,Warangal,Tier 3,Not Verified,249,1,15,153.31,Paytm,iOS,0.83,0
USR00146,45-54,Delhi,Tier 1,Verified,1046,1,47,342.34,PhonePe,Android,0.788,0
USR00147,45-54,Hyderabad,Tier 1,Verified,2170,1,52,1628.48,PhonePe,Android,0.918,0
USR00148,25-34,Agra,Tier 2,Verified,1786,1,29,1526.24,GPay,Android,0.659,0
USR00149,18-24,Rajkot,Tier 2,Verified,436,3,1,308.49,PhonePe,iOS,0.287,0
USR00150,35-44,Delhi,Tier 1,Verified,673,1,52,685.17,Paytm,iOS,0.597,0
USR00151,45-54,Amritsar,Tier 3,Verified,1875,2,20,518.55,Paytm,Android,0.523,1
USR00152,18-24,Hubli,Tier 3,Not Verified,1188,2,17,338.53,PhonePe,iOS,0.509,0
USR00153,45-54,Chennai,Tier 1,Verified,2445,2,41,851.74,GPay,Android,0.94,0
USR00154,35-44,Aurangabad,Tier 3,Verified,950,2,21,1135.16,Paytm,Android,0.918,0
USR00155,25-34,Ranchi,Tier 3,Not Verified,274,1,24,130.54,Amazon Pay,Android,0.377,0
USR00156,35-44,Solapur,Tier 3,Verified,1212,1,23,167.45,GPay,Android,0.522,0
USR00157,35-44,Pune,Tier 1,Verified,1145,2,49,620.02,GPay,Android,0.544,0
USR00158,25-34,Mumbai,Tier 1,Verified,1799,2,37,2627.87,GPay,Web,0.643,1
USR00159,25-34,Nagpur,Tier 2,Verified,2386,2,35,940.31,GPay,Android,0.119,0
USR00160,35-44,Chandigarh,Tier 2,Verified,1133,2,35,489.96,PhonePe,Android,0.787,0
USR00161,25-34,Coimbatore,Tier 2,Not Verified,1841,3,38,459.38,GPay,Android,0.263,0
USR00162,35-44,Ahmedabad,Tier 1,Verified,403,1,43,1661.73,WhatsApp Pay,Android,0.468,0
USR00163,35-44,Ranchi,Tier 3,Verified,688,1,20,446.34,Paytm,Android,0.724,0
USR00164,45-54,Pune,Tier 1,Verified,2283,1,43,2016.88,GPay,Android,0.179,0
USR00165,25-34,Lucknow,Tier 2,Verified,1685,3,23,515.56,PhonePe,Android,0.842,1
USR00166,25-34,Meerut,Tier 3,Verified,2252,1,15,72.4,PhonePe,Android,0.149,0
USR00167,45-54,Agra,Tier 2,Verified,2071,2,29,369.16,GPay,Android,0.784,0
USR00168,18-24,Aurangabad,Tier 3,Verified,566,3,26,524.79,PhonePe,Android,0.494,0
USR00169,25-34,Delhi,Tier 1,Verified,148,4,41,807.19,GPay,Android,0.648,0
USR00170,25-34,Bengaluru,Tier 1,Verified,1302,2,37,1198.45,GPay,Android,0.597,0
USR00171,35-44,Chandigarh,Tier 2,Verified,494,1,46,644.57,BHIM,iOS,0.206,0
USR00172,25-34,Nashik,Tier 3,Verified,1225,2,25,349.02,PhonePe,Android,0.346,0
USR00173,35-44,Vadodara,Tier 2,Verified,1028,1,20,378.51,Paytm,iOS,0.23,0
USR00174,25-34,Agra,Tier 2,Verified,2111,2,30,558.83,GPay,iOS,0.223,0
USR00175,18-24,Pune,Tier 1,Verified,1422,3,59,795.36,Paytm,iOS,0.557,0
USR00176,25-34,Visakhapatnam,Tier 2,Verified,1252,3,32,974.66,PhonePe,iOS,0.622,0
USR00177,45-54,Chandigarh,Tier 2,Not Verified,638,1,15,368.77,PhonePe,iOS,0.536,0
USR00178,35-44,Pune,Tier 1,Verified,1895,3,36,1077.84,Paytm,iOS,0.883,0
USR00179,25-34,Hyderabad,Tier 1,Not Verified,2372,1,49,713.61,PhonePe,Android,0.87,0
USR00180,25-34,Jalandhar,Tier 3,Verified,1967,2,24,109.15,GPay,Android,0.83,0
USR00181,25-34,Warangal,Tier 3,Verified,653,1,23,202.7,GPay,Web,0.133,0
USR00182,25-34,Agra,Tier 2,Verified,1389,3,30,240.82,PhonePe,iOS,0.887,0
USR00183,25-34,Coimbatore,Tier 2,Verified,1901,1,22,710.68,GPay,Android,0.23,0
USR00184,35-44,Kanpur,Tier 2,Verified,336,1,33,673.07,PhonePe,iOS,0.972,0
USR00185,18-24,Pune,Tier 1,Verified,358,3,45,562.68,Amazon Pay,Android,0.867,0
USR00186,25-34,Pune,Tier 1,Not Verified,1327,2,46,256.29,GPay,Android,0.899,0
USR00187,55+,Aurangabad,Tier 3,Verified,177,2,18,406.71,BHIM,Android,0.311,0
USR00188,25-34,Visakhapatnam,Tier 2,Verified,961,2,39,278.63,GPay,iOS,0.491,0
USR00189,18-24,Warangal,Tier 3,Verified,441,1,23,280.96,GPay,iOS,0.725,0
USR00190,55+,Jodhpur,Tier 3,Verified,1358,2,30,299.47,BHIM,Android,0.364,0
USR00191,55+,Bengaluru,Tier 1,Verified,1030,2,30,1269.38,Paytm,Android,0.609,0
USR00192,18-24,Kanpur,Tier 2,Verified,747,1,29,633.39,BHIM,iOS,0.884,0
USR00193,35-44,Nagpur,Tier 2,Not Verified,2068,3,14,296.96,Paytm,iOS,0.229,0
USR00194,35-44,Hubli,Tier 3,Verified,1912,1,17,334.26,PhonePe,Android,0.108,0
USR00195,25-34,Chennai,Tier 1,Verified,2268,1,33,2157.65,PhonePe,Android,0.498,0
USR00196,25-34,Agra,Tier 2,Verified,1255,2,44,953.1,PhonePe,Android,0.482,0
USR00197,45-54,Chandigarh,Tier 2,Verified,1267,1,25,513.82,PhonePe,Android,0.446,0
USR00198,35-44,Nagpur,Tier 2,Verified,1592,2,42,729.36,BHIM,iOS,0.617,0
