user_id,Recency,Frequency,Monetary,Avg_Txn_Value,Weekend_Ratio,Night_Ratio,user_loyalty_score
USR00001,9,11,10597.11,963.3736363636364,0.36363636363636365,0.5454545454545454,5304.055
USR00002,57,7,3444.34,492.04857142857145,0.2857142857142857,0.2857142857142857,1725.67
USR00003,76,8,3195.66,399.4575,0.5,0.0,1601.83
USR00004,14,10,2706.06,270.606,0.0,0.1,1358.03
USR00005,43,8,8672.130000000001,1084.0162500000001,0.25,0.25,4340.0650000000005
USR00006,43,7,2362.8,337.54285714285714,0.14285714285714285,0.2857142857142857,1184.9
USR00007,14,11,9802.48,891.1345454545454,0.2727272727272727,0.2727272727272727,4906.74
USR00008,22,17,12835.68,755.04,0.4117647058823529,0.5294117647058824,6426.34
USR00009,15,13,20746.14,1595.856923076923,0.23076923076923078,0.15384615384615385,10379.57
USR00010,5,10,20546.07,2054.607,0.3,0.2,10278.035
USR00011,33,7,10815.75,1545.107142857143,0.42857142857142855,0.14285714285714285,5411.375
USR00012,84,10,18571.06,1857.1060000000002,0.7,0.4,9290.53
USR00013,68,5,10559.08,2111.816,0.0,0.4,5282.04
USR00014,34,16,13091.9,818.24375,0.25,0.4375,6553.95
USR00015,49,10,9264.73,926.473,0.2,0.3,4637.365
USR00016,8,6,7649.5,1274.9166666666667,0.3333333333333333,0.3333333333333333,3827.75
USR00017,7,9,4164.47,462.7188888888889,0.1111111111111111,0.6666666666666666,2086.735
USR00018,14,11,7003.01,636.6372727272727,0.36363636363636365,0.36363636363636365,3507.005
USR00019,13,14,5663.92,404.5657142857143,0.21428571428571427,0.14285714285714285,2838.96
USR00020,82,14,12698.35,907.025,0.21428571428571427,0.2857142857142857,6356.175
USR00021,26,11,5739.57,521.7790909090909,0.18181818181818182,0.18181818181818182,2875.285
USR00022,5,10,12670.77,1267.077,0.6,0.1,6340.385
USR00023,10,10,4970.84,497.084,0.5,0.3,2490.42
USR00024,39,6,5138.25,856.375,0.3333333333333333,0.5,2572.125
USR00025,50,12,23367.4,1947.2833333333335,0.3333333333333333,0.3333333333333333,11689.7
USR00026,34,8,6370.09,796.26125,0.375,0.125,3189.045
USR00027,71,8,2517.66,314.7075,0.25,0.375,1262.83
USR00028,7,9,4406.05,489.56111111111113,0.3333333333333333,0.2222222222222222,2207.525
USR00029,6,12,5771.22,480.935,0.25,0.16666666666666666,2891.61
USR00030,15,9,13301.19,1477.91,0.3333333333333333,0.4444444444444444,6655.095
USR00031,102,7,7930.610000000001,1132.9442857142858,0.5714285714285714,0.42857142857142855,3968.8050000000003
USR00032,43,11,4627.85,420.7136363636364,0.2727272727272727,0.7272727272727273,2319.425
USR00033,15,10,6575.33,657.533,0.2,0.3,3292.665
USR00034,37,11,3107.44,282.49454545454546,0.2727272727272727,0.36363636363636365,1559.22
USR00035,17,20,9609.94,480.497,0.55,0.4,4814.97
USR00036,61,13,14177.119999999999,1090.5476923076922,0.3076923076923077,0.5384615384615384,7095.0599999999995
USR00037,32,13,2602.78,200.21384615384616,0.0,0.0,1307.89
USR00038,23,10,9596.45,959.6450000000001,0.4,0.3,4803.225
USR00039,63,7,7440.22,1062.8885714285714,0.5714285714285714,0.2857142857142857,3723.61
USR00040,75,10,6596.28,659.6279999999999,0.2,0.4,3303.14
USR00041,24,12,32663.49,2721.9575,0.25,0.5,16337.745
USR00042,24,6,13701.54,2283.59,0.3333333333333333,0.3333333333333333,6853.77
USR00043,30,15,4664.2,310.94666666666666,0.4,0.5333333333333333,2339.6
USR00044,9,15,36871.13,2458.075333333333,0.2,0.5333333333333333,18443.065
USR00045,72,10,2346.4,234.64000000000001,0.5,0.3,1178.2
USR00046,178,5,2702.35,540.47,0.2,0.2,1353.675
USR00047,21,14,15996.49,1142.6064285714285,0.42857142857142855,0.35714285714285715,8005.245
USR00048,106,11,7832.48,712.0436363636363,0.0,0.2727272727272727,3921.74
USR00049,7,9,8620.18,957.7977777777778,0.2222222222222222,0.3333333333333333,4314.59
USR00050,70,8,7458.55,932.31875,0.0,0.125,3733.275
